2026-09-17T20:53:16Z INFO Logging to /tmp/logs/update_2026-09-17T20-53-16Z.log.
2026-09-17T20:53:16Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-17T20:53:18Z INFO Processing 372 items (48410 already recorded).
2026-09-17T20:53:19Z INFO [1/372] 031ead3d-5b25-470a-9e4a-ce71a59cce1e: does not qualify; 1.2 s; peak memory 219 MiB.
2026-09-17T20:53:20Z INFO [2/372] 031eaed9-8c5a-4641-8dbc-727617a5e071: does not qualify; 1.2 s; peak memory 221 MiB.
2026-09-17T20:53:22Z INFO [3/372] 031ec13b-5ba0-41ad-8616-4e096672c2cf: does not qualify; 1.6 s; peak memory 222 MiB.
2026-09-17T20:53:26Z INFO [4/372] 031f08bd-8b9d-420c-a50b-1de3cbd5d026: does not qualify; 4.2 s; peak memory 232 MiB.
2026-09-17T20:53:27Z INFO [5/372] 031f10e6-c448-4607-bf4d-105dac9357dd: does not qualify; 1.3 s; peak memory 232 MiB.
2026-09-17T20:53:29Z INFO [6/372] 031f7146-a42c-4d6a-a31a-1e9f2c395779: does not qualify; 1.3 s; peak memory 232 MiB.
2026-09-17T20:53:30Z INFO [7/372] 03206baf-a88c-4c20-b780-cb8a6e42624c: does not qualify; 1.7 s; peak memory 232 MiB.
2026-09-17T20:53:31Z INFO [8/372] 03208b4c-3453-42ce-a4bc-66ba61308329: does not qualify; 0.8 s; peak memory 232 MiB.
2026-09-17T20:53:32Z INFO [9/372] 0320bea0-3094-4c04-a8db-461b04e6eaf2: does not qualify; 1.0 s; peak memory 232 MiB.
2026-09-17T20:53:33Z INFO [10/372] 032137d6-d4b1-467c-a85c-973ed7513df2: does not qualify; 1.1 s; peak memory 232 MiB.
2026-09-17T20:53:34Z INFO [11/372] 03218b80-9caf-45af-bd7f-5956e243f5b8: does not qualify; 1.0 s; peak memory 232 MiB.
2026-09-17T20:53:37Z INFO [12/372] 0322e3f9-64b5-4e78-865e-74f060889edf: does not qualify; 2.6 s; peak memory 232 MiB.
2026-09-17T20:53:44Z INFO [13/372] 03238fef-42c2-4294-a6a1-5267a33c07d5: does not qualify; 7.2 s; peak memory 254 MiB.
2026-09-17T20:53:45Z INFO [14/372] 0323b62c-bc7f-4806-9ad9-1696d2b42bb9: does not qualify; 1.2 s; peak memory 254 MiB.
2026-09-17T20:53:46Z INFO [15/372] 0323c827-3c2a-4b92-98db-a7cac2f647c2: does not qualify; 1.1 s; peak memory 254 MiB.
2026-09-17T20:53:47Z INFO [16/372] 0323f0ad-1a89-45ef-aaeb-cdcc6ef765df: does not qualify; 1.0 s; peak memory 254 MiB.
2026-09-17T20:53:51Z INFO [17/372] 03254648-f5e8-4a29-b720-2ac3356e5a2f: does not qualify; 4.0 s; peak memory 254 MiB.
2026-09-17T20:53:53Z INFO [18/372] 0326a20f-0453-4949-b951-637340e2a5aa: does not qualify; 2.2 s; peak memory 254 MiB.
2026-09-17T20:53:55Z INFO [19/372] 03273dca-c55a-4ca9-868c-f1fbb2860e76: does not qualify; 1.1 s; peak memory 254 MiB.
2026-09-17T20:53:56Z INFO [20/372] 0327aa4d-71e8-4f7d-8d9d-2e032fa568f5: does not qualify; 1.0 s; peak memory 254 MiB.
2026-09-17T20:53:57Z INFO [21/372] 03286bbd-707b-4b66-925e-04609288a358: does not qualify; 1.2 s; peak memory 254 MiB.
2026-09-17T20:53:58Z INFO [22/372] 032934d7-f9e2-43c8-be56-d6598ec75d69: does not qualify; 1.4 s; peak memory 254 MiB.
2026-09-17T20:53:59Z INFO [23/372] 032952f0-410a-423c-be15-f17deb371265: does not qualify; 0.9 s; peak memory 254 MiB.
