2026-09-18T15:41:49Z INFO Logging to /tmp/logs/update_2026-09-18T15-41-49Z.log.
2026-09-18T15:41:49Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-18T15:41:50Z INFO Processing 748 items (49147 already recorded).
2026-09-18T15:41:52Z INFO [1/748] 0166c3fd-03f3-4920-9f20-93d081fa89e0: does not qualify; 2.0 s; peak memory 219 MiB.
2026-09-18T15:41:59Z INFO [2/748] 04b6f7fd-5c5f-4c4b-b274-789fb97d321d: does not qualify; 6.2 s; peak memory 235 MiB.
2026-09-18T15:42:06Z INFO [3/748] 04b75f8c-8408-434b-84a4-463257141e4c: does not qualify; 7.0 s; peak memory 241 MiB.
2026-09-18T15:42:07Z INFO [4/748] 04b7cf3b-c18b-43df-a0e6-e3e7cc791aea: does not qualify; 1.3 s; peak memory 241 MiB.
2026-09-18T15:42:08Z INFO [5/748] 04b91b84-bd6c-4180-825d-107e795031cc: does not qualify; 1.7 s; peak memory 241 MiB.
2026-09-18T15:42:15Z INFO [6/748] 04b93355-d721-4440-8542-339579fdb827: does not qualify; 6.8 s; peak memory 241 MiB.
2026-09-18T15:42:18Z INFO [7/748] 04ba01a2-879e-406b-94af-614aeb1096f6: does not qualify; 2.3 s; peak memory 241 MiB.
2026-09-18T15:42:28Z INFO [8/748] 04ba6299-80c9-4ad4-9a10-a40a10c2c3e3: does not qualify; 10.6 s; peak memory 248 MiB.
2026-09-18T15:42:31Z INFO [9/748] 04ba97ae-796a-43bc-997e-b3acbe8a24ff: does not qualify; 2.9 s; peak memory 248 MiB.
2026-09-18T15:42:35Z INFO [10/748] 04bb20f8-d2c1-4670-8466-7bb2d5d2c9b0: does not qualify; 4.1 s; peak memory 248 MiB.
2026-09-18T15:42:37Z INFO [11/748] 04bbfbc8-a688-4460-a7fe-e21414f621fd: does not qualify; 2.4 s; peak memory 248 MiB.
2026-09-18T15:42:56Z INFO [12/748] 04bd51d2-c127-4422-b6df-75c95498f7d6: does not qualify; 19.0 s; peak memory 257 MiB.
2026-09-18T15:42:58Z INFO [13/748] 04bea271-a43a-4e75-a3a9-6e1363ac9868: does not qualify; 1.5 s; peak memory 257 MiB.
2026-09-18T15:43:07Z INFO [14/748] 04bf3571-7c36-41c4-8905-dd6a7ee3d403: does not qualify; 8.9 s; peak memory 257 MiB.
2026-09-18T15:43:08Z INFO [15/748] 04bf62f9-7c2f-4359-918c-b643f579dd1a: does not qualify; 1.2 s; peak memory 257 MiB.
2026-09-18T15:43:09Z INFO [16/748] 04bf6640-086a-4544-8fd3-d1f203a2de9a: does not qualify; 1.0 s; peak memory 257 MiB.
2026-09-18T15:43:17Z INFO [17/748] 04bfd946-cac3-4c5b-841e-0b13bf57d0ad: does not qualify; 7.6 s; peak memory 257 MiB.
2026-09-18T15:43:24Z INFO [18/748] 04c13ec4-37ce-4764-a066-c912353d4e54: does not qualify; 7.2 s; peak memory 257 MiB.
2026-09-18T15:43:29Z INFO [19/748] 04c1d581-4645-4033-9257-7346bc321c1a: does not qualify; 5.0 s; peak memory 257 MiB.
2026-09-18T15:43:33Z INFO [20/748] 04c30374-3e71-47e8-9eb3-d00fa139982e: does not qualify; 4.2 s; peak memory 257 MiB.
2026-09-18T15:43:39Z INFO [21/748] 04c5801e-e982-4d6e-8739-74d2fa98888f: does not qualify; 5.7 s; peak memory 257 MiB.
2026-09-18T15:43:41Z INFO [22/748] 04c5da28-3562-46fb-95bb-cabcca6c0f58: does not qualify; 1.8 s; peak memory 257 MiB.
2026-09-18T15:43:42Z INFO [23/748] 04c6ec16-a785-43c7-bc16-3c5329ac9897: does not qualify; 1.0 s; peak memory 257 MiB.
