2026-09-20T15:18:34Z INFO Logging to /tmp/logs/update_2026-09-20T15-18-34Z.log.
2026-09-20T15:18:34Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-20T15:18:35Z INFO Processing 394 items (51368 already recorded).
2026-09-20T15:18:37Z INFO [1/394] 00e36e78-caf6-43db-ae84-71e3a02b5122: does not qualify; 2.0 s; peak memory 223 MiB.
2026-09-20T15:18:41Z INFO [2/394] 00f15f38-bce9-441b-b55e-12956eee2592: does not qualify; 3.8 s; peak memory 226 MiB.
2026-09-20T15:18:47Z INFO [3/394] 013b6125-db3c-4024-8f34-b4880e79406c: does not qualify; 5.9 s; peak memory 232 MiB.
2026-09-20T15:18:51Z INFO [4/394] 0185c834-bca9-47aa-a30c-331cb6a35143: does not qualify; 3.6 s; peak memory 232 MiB.
2026-09-20T15:18:52Z INFO [5/394] 01a9fffc-f243-4d53-b7c1-69f10b682dae: does not qualify; 1.5 s; peak memory 232 MiB.
2026-09-20T15:18:54Z INFO [6/394] 0213d4a7-a1f7-4d08-bb5e-b16d22514a52: does not qualify; 1.5 s; peak memory 232 MiB.
2026-09-20T15:18:56Z INFO [7/394] 027c833a-981b-4e5f-8b01-85f182f76fcd: does not qualify; 2.6 s; peak memory 232 MiB.
2026-09-20T15:19:00Z INFO [8/394] 035f86c6-c72b-48b9-b645-0b7ef297a304: does not qualify; 4.1 s; peak memory 232 MiB.
2026-09-20T15:19:02Z INFO [9/394] 03f85366-5aea-45fb-a203-36a6495c0705: does not qualify; 1.5 s; peak memory 232 MiB.
2026-09-20T15:19:03Z INFO [10/394] 044cb660-5eed-472a-afee-70bc24f706a6: does not qualify; 1.5 s; peak memory 232 MiB.
2026-09-20T15:19:05Z INFO [11/394] 04c3d246-eb00-4ca2-a600-f1c0b56f16eb: does not qualify; 1.6 s; peak memory 232 MiB.
2026-09-20T15:19:11Z INFO [12/394] 04fdd2ad-76a3-48d1-99eb-81988085af64: does not qualify; 6.1 s; peak memory 232 MiB.
2026-09-20T15:19:17Z INFO [13/394] 06cc677f-00c9-429c-b595-8b27223e4b5d: does not qualify; 6.2 s; peak memory 232 MiB.
2026-09-20T15:19:23Z INFO [14/394] 08cde427-3ffe-46bd-b773-182a2fe5f1b7: does not qualify; 5.8 s; peak memory 233 MiB.
2026-09-20T15:19:25Z INFO [15/394] 0935e4a8-b86f-4780-8d3d-d1334ff5a883: does not qualify; 1.6 s; peak memory 233 MiB.
2026-09-20T15:19:26Z INFO [16/394] 09647473-9101-4fb0-922e-709ce062b2fc: does not qualify; 1.5 s; peak memory 233 MiB.
2026-09-20T15:19:28Z INFO [17/394] 09649dfe-e39e-4b6d-be0a-bd553b9fa1c4: does not qualify; 2.0 s; peak memory 233 MiB.
2026-09-20T15:19:31Z INFO [18/394] 0964c458-fa1d-49a2-92d5-70d6483681ff: does not qualify; 2.3 s; peak memory 233 MiB.
2026-09-20T15:19:34Z INFO [19/394] 0965063a-ec06-496e-971c-bf70db2e4b6e: does not qualify; 3.7 s; peak memory 233 MiB.
2026-09-20T15:19:37Z INFO [20/394] 0965967a-4578-40d6-b493-8f295916b866: does not qualify; 3.0 s; peak memory 233 MiB.
2026-09-20T15:19:38Z INFO [21/394] 0965a0db-2575-4514-8b91-2a7dde8031e7: does not qualify; 1.3 s; peak memory 233 MiB.
2026-09-20T15:19:49Z INFO [22/394] 0965b501-4165-43eb-91a8-33bf8463f3ef: does not qualify; 10.6 s; peak memory 237 MiB.
2026-09-20T15:19:50Z INFO [23/394] 0965fd7f-4e91-477d-b54d-d5680d3c8bf8: does not qualify; 1.4 s; peak memory 237 MiB.
2026-09-20T15:20:00Z INFO [24/394] 09661b05-133f-4878-953e-5c1c994fd881: does not qualify; 9.8 s; peak memory 253 MiB.
2026-09-20T15:20:02Z INFO [25/394] 09678cee-b092-4785-b239-8f2c27f5a8ea: does not qualify; 2.2 s; peak memory 253 MiB.
2026-09-20T15:20:05Z INFO [26/394] 096870fa-46a5-4ae1-8dd4-6eeb17e6268f: does not qualify; 2.5 s; peak memory 253 MiB.
