2026-09-21T11:47:45Z INFO Logging to /tmp/logs/update_2026-09-21T11-47-45Z.log.
2026-09-21T11:47:45Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-21T11:47:47Z INFO Processing 367 items (52494 already recorded).
2026-09-21T11:47:53Z INFO [1/367] 0bbcea62-4814-424c-8235-a91142dfcfec: does not qualify; 6.1 s; peak memory 228 MiB.
2026-09-21T11:47:56Z INFO [2/367] 0bbd1683-6581-49ac-82e1-c84eab485531: does not qualify; 2.6 s; peak memory 228 MiB.
2026-09-21T11:47:58Z INFO [3/367] 0bbd6962-0ba4-4a61-94b4-161a3d4a5efb: does not qualify; 2.1 s; peak memory 228 MiB.
2026-09-21T11:48:00Z INFO [4/367] 0bbf052e-3878-46a3-a14d-57df85586f72: does not qualify; 2.0 s; peak memory 228 MiB.
2026-09-21T11:48:11Z INFO [5/367] 0bbf8c8e-a200-4f9b-9edc-3b12a6033178: does not qualify; 10.9 s; peak memory 241 MiB.
2026-09-21T11:48:23Z INFO [6/367] 0bc1a430-05a1-4a8a-a541-d5726602326c: does not qualify; 12.7 s; peak memory 476 MiB.
2026-09-21T11:48:26Z INFO [7/367] 0bc1d8d2-92ff-4324-86b8-2699a1980ad0: does not qualify; 2.6 s; peak memory 476 MiB.
2026-09-21T11:48:28Z INFO [8/367] 0bc20038-2aa0-4089-8940-6b4d988457ab: does not qualify; 2.0 s; peak memory 476 MiB.
2026-09-21T11:48:29Z INFO [9/367] 0bc34c6e-b471-4c8c-9e72-72ec064b4a37: does not qualify; 1.6 s; peak memory 476 MiB.
2026-09-21T11:48:36Z INFO [10/367] 0bc3cd29-cbe4-4c8b-8319-328890f73918: does not qualify; 6.4 s; peak memory 476 MiB.
2026-09-21T11:48:38Z INFO [11/367] 0bc52c99-bf98-47d6-a856-e05133a2751d: does not qualify; 2.3 s; peak memory 476 MiB.
2026-09-21T11:48:40Z INFO [12/367] 0bc5a608-7e35-4511-82d5-c333916c3a32: does not qualify; 2.0 s; peak memory 476 MiB.
2026-09-21T11:48:42Z INFO [13/367] 0bc5f9f4-c30e-454e-9cb1-bbf8aed651c9: does not qualify; 1.6 s; peak memory 476 MiB.
2026-09-21T11:48:43Z INFO [14/367] 0bc6ed24-1620-4f22-bf77-0e8af77f2a7d: does not qualify; 1.4 s; peak memory 476 MiB.
2026-09-21T11:48:45Z INFO [15/367] 0bc71404-b447-40c2-a6cf-200646978f6c: does not qualify; 1.4 s; peak memory 476 MiB.
