2026-09-24T16:22:13Z INFO Logging to /tmp/logs/update_2026-09-24T16-22-13Z.log.
2026-09-24T16:22:13Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-24T16:22:15Z INFO Processing 371 items (55793 already recorded).
2026-09-24T16:22:16Z INFO [1/371] 004dcca0-34c8-4b04-8229-bb49b3d00a29: does not qualify; 1.6 s; peak memory 224 MiB.
2026-09-24T16:22:18Z INFO [2/371] 00cec8b0-5164-4a3a-a02c-946d70edfb6b: does not qualify; 1.8 s; peak memory 225 MiB.
2026-09-24T16:22:19Z INFO [3/371] 018d6083-942f-4322-948a-5416034d58b0: does not qualify; 1.5 s; peak memory 225 MiB.
2026-09-24T16:22:21Z INFO [4/371] 019f7ec4-5618-4756-8fd4-f19708b07477: does not qualify; 1.9 s; peak memory 225 MiB.
2026-09-24T16:22:23Z INFO [5/371] 02a91933-a207-4f1f-828e-1884d7d1ca6d: does not qualify; 1.6 s; peak memory 225 MiB.
2026-09-24T16:22:24Z INFO [6/371] 02c7245a-55cc-4225-9a80-1763a746f953: does not qualify; 1.2 s; peak memory 225 MiB.
2026-09-24T16:22:26Z INFO [7/371] 0347b886-5145-4ff5-b921-7ddb454bbd7a: does not qualify; 2.2 s; peak memory 225 MiB.
2026-09-24T16:22:28Z INFO [8/371] 045e19bf-4aef-45d1-81ec-7f9ad0d28c62: does not qualify; 1.6 s; peak memory 225 MiB.
2026-09-24T16:22:29Z INFO [9/371] 05676ec9-7f1c-4840-8939-05161b45a42c: does not qualify; 1.5 s; peak memory 225 MiB.
2026-09-24T16:22:31Z INFO [10/371] 062eaefe-3055-4a5d-9558-32662cbc1f93: does not qualify; 1.5 s; peak memory 225 MiB.
2026-09-24T16:22:33Z INFO [11/371] 06a5808d-5e32-4eb4-be2e-67c9d09659d8: qualifies; 2.4 s; peak memory 226 MiB.
2026-09-24T16:22:35Z INFO [12/371] 072c019d-53f2-4cc1-b181-ec9218dcf84d: does not qualify; 1.9 s; peak memory 227 MiB.
2026-09-24T16:22:37Z INFO [13/371] 0874236c-84ca-4a13-8c5a-00aea7f2dbbf: does not qualify; 1.4 s; peak memory 227 MiB.
2026-09-24T16:22:38Z INFO [14/371] 08d66869-7fa3-4e85-93dc-143a69068a57: does not qualify; 1.5 s; peak memory 227 MiB.
2026-09-24T16:22:40Z INFO [15/371] 091525e3-b436-4d91-b3ef-0bd761356383: does not qualify; 1.5 s; peak memory 227 MiB.
2026-09-24T16:22:41Z INFO [16/371] 09d932df-3e9d-4b8f-af27-95b57bea2495: does not qualify; 1.5 s; peak memory 227 MiB.
2026-09-24T16:22:43Z INFO [17/371] 0a61a66c-eafa-45eb-9f9d-5eca1dcf6e91: does not qualify; 1.6 s; peak memory 227 MiB.
2026-09-24T16:22:44Z INFO [18/371] 0a73ada3-fef1-4414-9aa5-41e6ec146645: does not qualify; 1.6 s; peak memory 227 MiB.
2026-09-24T16:22:46Z INFO [19/371] 0bbe4ddd-6289-4caa-8ad9-70bfc9f9bdc3: does not qualify; 1.7 s; peak memory 227 MiB.
2026-09-24T16:22:47Z INFO [20/371] 0bc50623-3a3d-4aac-a63b-09643095843c: does not qualify; 1.6 s; peak memory 227 MiB.
2026-09-24T16:22:49Z INFO [21/371] 0c2f9cb4-2971-450c-b5fe-6d105c2d387d: does not qualify; 1.8 s; peak memory 227 MiB.
2026-09-24T16:22:51Z INFO [22/371] 0c55c2b0-4277-47ea-94c1-3598a129cbd5: does not qualify; 2.0 s; peak memory 228 MiB.
