2026-09-25T16:22:12Z INFO Logging to /tmp/logs/update_2026-09-25T16-22-12Z.log.
2026-09-25T16:22:12Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-25T16:22:13Z INFO Processing 381 items (56905 already recorded).
2026-09-25T16:22:15Z INFO [1/381] 0067cb5b-7fee-42a2-b9ef-088496361431: does not qualify; 1.4 s; peak memory 223 MiB.
2026-09-25T16:22:17Z INFO [2/381] 0a070021-3e71-4aed-857d-f083620feb92: does not qualify; 1.9 s; peak memory 225 MiB.
2026-09-25T16:22:17Z INFO [3/381] 14cf7874-3ff7-484b-bab4-88f6b5cec289: does not qualify; 0.5 s; peak memory 225 MiB.
2026-09-25T16:22:18Z INFO [4/381] 14cfc249-c943-4417-a279-98bbfb6d9a19: does not qualify; 0.8 s; peak memory 225 MiB.
2026-09-25T16:22:23Z INFO [5/381] 14d09d83-d61b-4389-911a-c760259cc4e5: does not qualify; 5.1 s; peak memory 248 MiB.
2026-09-25T16:22:24Z INFO [6/381] 14d1bd68-717d-490b-8019-6a8b420998fa: does not qualify; 0.4 s; peak memory 248 MiB.
2026-09-25T16:22:25Z INFO [7/381] 14d252fd-cfd6-4733-b915-f494cc19fc53: does not qualify; 1.1 s; peak memory 248 MiB.
2026-09-25T16:22:26Z INFO [8/381] 14d277f2-29ac-4344-b788-6dc9aab1e7a7: does not qualify; 1.3 s; peak memory 248 MiB.
2026-09-25T16:22:27Z INFO [9/381] 14d29f34-507b-41b7-af35-1221ff412229: does not qualify; 0.6 s; peak memory 248 MiB.
2026-09-25T16:22:28Z INFO [10/381] 14d40b73-fa98-4c11-b22c-26e74460757b: does not qualify; 1.2 s; peak memory 248 MiB.
2026-09-25T16:22:29Z INFO [11/381] 14d4965b-40e4-436f-adfd-94000360559b: does not qualify; 1.0 s; peak memory 248 MiB.
2026-09-25T16:22:29Z INFO [12/381] 14d5961f-31b8-4921-b814-911f04fcd925: does not qualify; 0.7 s; peak memory 248 MiB.
2026-09-25T16:22:34Z INFO [13/381] 14d5b597-16b0-483e-a323-cf22eeca56d6: does not qualify; 4.9 s; peak memory 282 MiB.
2026-09-25T16:22:35Z INFO [14/381] 14d6015d-602a-4a2f-b54c-30dcc74c3d8d: does not qualify; 0.6 s; peak memory 282 MiB.
2026-09-25T16:22:35Z INFO [15/381] 14d6527b-ac61-4686-9209-00e6d4dd182a: does not qualify; 0.5 s; peak memory 282 MiB.
2026-09-25T16:22:39Z INFO [16/381] 14d68588-2dc4-4d0f-a1b8-ec655e95b932: does not qualify; 3.2 s; peak memory 282 MiB.
2026-09-25T16:22:39Z INFO [17/381] 14d7ca55-ab1f-4ee7-90e5-b286178573b4: does not qualify; 0.8 s; peak memory 282 MiB.
2026-09-25T16:22:43Z INFO [18/381] 14d8aa96-00d5-4267-9548-6bbfed1bc410: does not qualify; 3.6 s; peak memory 282 MiB.
2026-09-25T16:22:44Z INFO [19/381] 14d8af72-f0b0-4e9d-a860-95d774a9903c: does not qualify; 0.6 s; peak memory 282 MiB.
2026-09-25T16:22:44Z INFO [20/381] 14d8e5a0-a11d-4b4f-bf99-7f9c6dc48c61: does not qualify; 0.8 s; peak memory 282 MiB.
2026-09-25T16:22:45Z INFO [21/381] 14d8efbf-891b-4a33-985d-ecca8f13834a: does not qualify; 0.8 s; peak memory 282 MiB.
2026-09-25T16:22:46Z INFO [22/381] 14d97e46-c288-4005-a001-c87d261659f0: does not qualify; 0.9 s; peak memory 282 MiB.
2026-09-25T16:22:47Z INFO [23/381] 14d9a0cf-b578-482b-a13f-35d2a3866f96: does not qualify; 0.5 s; peak memory 282 MiB.
2026-09-25T16:22:59Z INFO [24/381] 14da00c8-b5d9-441b-ab33-df3b6975ff68: does not qualify; 12.1 s; peak memory 288 MiB.
2026-09-25T16:23:02Z INFO [25/381] 14da47e8-72cf-4b8a-865c-4083f95696a7: does not qualify; 3.2 s; peak memory 288 MiB.
2026-09-25T16:23:06Z INFO [26/381] 14da7540-cf62-4bb9-84e8-43c17c0108a6: does not qualify; 4.6 s; peak memory 288 MiB.
2026-09-25T16:23:08Z INFO [27/381] 14dab921-8819-45da-889e-0194c5c551f3: does not qualify; 1.5 s; peak memory 288 MiB.
2026-09-25T16:23:09Z INFO [28/381] 14db26d2-851c-420a-9c05-a1db5cb8447a: does not qualify; 0.9 s; peak memory 288 MiB.
2026-09-25T16:23:10Z INFO [29/381] 14db5778-dc6c-44ce-a106-289f9b8690db: does not qualify; 0.9 s; peak memory 288 MiB.
2026-09-25T16:23:11Z INFO [30/381] 14dc1bae-00ae-4187-b96b-b78b8142a824: does not qualify; 1.2 s; peak memory 288 MiB.
2026-09-25T16:23:12Z INFO [31/381] 14dca8ee-4694-4b7f-a739-28005b715a48: does not qualify; 0.5 s; peak memory 288 MiB.
2026-09-25T16:23:13Z INFO [32/381] 14dd3038-1c82-4118-b084-256a32dad4be: does not qualify; 1.0 s; peak memory 288 MiB.
2026-09-25T16:23:14Z INFO [33/381] 14dddc3e-8170-4ed3-bbfb-6cb05beff61f: does not qualify; 1.7 s; peak memory 288 MiB.
2026-09-25T16:23:16Z INFO [34/381] 14de440d-3ea7-4646-8444-6dd17b12cd72: does not qualify; 1.6 s; peak memory 288 MiB.
